#{"t_start": 1767722046.9702315, "env_id": "None"}
r,l,t
2014.609,900,792.694102
885.55756,497,799.418077
2005.3041,900,799.989947
1799.251,900,804.037984
2059.141,900,807.7931
1912.737,900,814.281873
314.24988,238,817.457837
804.61053,443,824.95809
1679.7743,900,825.91619
2062.6753,900,826.865403
1842.5693,900,828.748802
-3.0351045,47,829.296677
683.6242,413,829.581302
-61.82859,100,835.903349
1891.7688,900,842.116032
259.80066,200,844.007451
2021.0255,900,847.35323
2008.6367,900,855.789665
1773.7379,900,873.517674
817.6782,403,874.852712
1974.001,900,876.085227
1737.2126,900,880.690692
986.39404,469,881.902802
2052.109,900,882.759893
2016.1648,900,887.942147
1911.8138,900,889.201555
360.47726,173,890.444437
1841.2664,900,890.836271
2080.0896,900,895.306126
1976.3365,900,901.298159
519.40765,296,906.726001
2024.0894,900,910.870941
777.2308,401,910.936854
1165.2565,585,914.504195
902.4536,487,914.879767
-53.83196,64,918.662947
1779.4247,900,923.050726
2038.5703,900,924.743117
1970.1418,900,926.295372
1221.5212,639,927.978803
2042.9487,900,932.006242
720.5757,339,932.781079
291.30014,212,937.908818
137.45697,111,938.54587
396.7636,257,938.938894
1093.7137,542,940.367788
45.90062,90,944.085315
705.1021,481,944.396595
2029.5671,900,949.112715
187.4217,113,950.770079
731.9051,392,950.875121
1086.9154,576,952.989103
1805.9501,900,955.240728
-59.48805,111,956.797603
485.07373,252,957.985969
259.36084,184,959.15956
259.99323,177,960.522558
1842.5687,900,964.229532
416.9659,213,968.723207
-18.671202,37,970.826731
386.53186,234,972.40071
352.83228,269,973.136195
-141.63777,89,975.90273
2023.65,900,977.924913
1641.3522,900,984.808929
764.38715,517,995.142887
810.97473,359,995.402691
1866.589,900,999.768621
1583.5858,900,1000.530849
1965.0696,900,1002.638135
368.4666,261,1010.728604
741.3022,470,1011.560502
453.93893,260,1016.013943
79.97341,92,1016.369582
1906.8127,900,1016.551449
299.8443,207,1024.301512
493.4604,469,1024.485909
1998.3931,900,1025.106081
725.70776,415,1026.312756
250.81036,185,1027.793403
451.8955,257,1032.324459
903.31573,504,1033.716756
1977.544,900,1038.733314
1739.5458,900,1041.67858
1947.7333,900,1043.734348
332.52524,335,1045.001445
2012.4712,900,1051.395994
204.53398,250,1054.515114
478.78152,286,1059.938388
846.369,606,1062.741413
209.56421,195,1063.590734
64.08578,156,1064.190475
795.13434,424,1070.941084
1885.7134,900,1072.57317
65.33875,90,1076.977469
169.40671,193,1077.191758
745.7162,560,1081.061761
2016.9624,900,1081.169223
1996.0723,900,1082.966076
133.51852,116,1083.934887
2005.9629,900,1084.257037
606.703,359,1085.390399
1997.8153,900,1088.442378
280.49597,210,1089.009494
1899.1349,900,1089.724374
387.36465,275,1106.777964
546.34015,397,1108.096833
612.83466,342,1109.945913
573.98663,335,1110.161627
877.9879,477,1115.72009
850.97644,498,1115.72009
1945.109,900,1116.822934
1979.7944,900,1121.445003
8.660379,39,1131.487491
201.77377,138,1133.426324
1450.5873,900,1136.622013
391.36133,313,1142.492681
1881.0333,900,1144.438919
1804.5177,900,1144.573257
1830.3224,900,1146.639616
85.70487,141,1153.410762
303.87445,216,1160.120585
767.35345,408,1161.695349
1944.9641,900,1171.457708
1971.9233,900,1172.568209
2102.061,900,1174.221863
1932.8546,900,1174.414016
20.452877,45,1175.400863
910.0983,501,1175.776813
1765.333,900,1179.349584
720.82086,363,1184.771074
143.28047,175,1185.576379
1896.2412,900,1187.102657
261.8176,223,1188.936639
2017.9956,900,1189.454304
712.37964,477,1190.63431
361.23566,241,1191.56798
361.199,254,1192.040709
274.46866,221,1199.281624
325.15036,186,1199.281624
625.2789,311,1199.815042
1923.9937,900,1199.946543
110.064735,105,1206.355853
474.97482,282,1209.23672
498.31934,275,1209.68959
1846.6173,900,1211.371853
17.135641,100,1212.775056
236.55864,216,1214.136888
548.476,465,1219.700546
609.4226,360,1222.575056
685.3697,401,1225.77286
497.2548,273,1226.685964
663.66394,541,1227.151521
1956.6824,900,1229.836858
583.8854,333,1232.689005
89.66593,166,1236.534148
-200.2897,126,1238.009565
727.1381,471,1239.945298
2068.2634,900,1244.00891
379.1561,296,1246.256833
2019.9668,900,1247.261405
78.57504,99,1250.267593
1098.1411,607,1251.614151
46.806976,107,1253.874971
828.7587,494,1273.012842
1024.7194,500,1277.051121
-14.53971,39,1279.494344
1743.8391,900,1280.236003
735.96924,395,1285.217717
706.40967,364,1285.598397
1886.7981,900,1285.720747
986.9962,528,1288.11809
2042.0468,900,1288.488284
1964.6206,900,1292.287549
88.686874,123,1295.901142
465.68402,313,1298.538832
384.96918,243,1299.897678
1974.2877,900,1302.786118
1947.0059,900,1304.606699
479.0333,275,1308.775017
350.90158,222,1309.194311
793.8632,428,1311.47003
604.7276,392,1311.654024
151.28128,124,1312.004208
1967.3878,900,1314.280004
1808.1041,900,1327.557516
439.8165,271,1327.799785
562.0925,341,1329.824098
662.14606,361,1334.175086
62.838142,68,1334.262103
2025.4656,900,1335.051023
679.26294,603,1336.777817
1817.912,900,1340.68682
202.31184,217,1348.303034
348.89288,273,1352.818043
1919.1522,900,1354.63116
563.0517,327,1355.536556
1667.8583,900,1359.248174
1980.0481,900,1365.635204
1136.4246,584,1365.635204
