#{"t_start": 1767717267.1060405, "env_id": "None"}
r,l,t
-47.89619,58,80.918789
-47.712193,76,81.078787
-165.11928,97,81.276583
-108.17267,107,81.64474
-34.384743,28,82.000248
-56.166416,46,82.129939
-126.68354,69,82.665447
-170.22858,156,83.06567
-150.48059,123,83.580794
-14.693961,88,83.716415
-53.307537,148,83.716415
-72.71348,24,83.87459
-90.06988,79,83.907583
-25.59557,95,84.067141
-125.667564,63,84.236298
-20.893946,89,84.60496
-288.1904,171,84.968063
-50.955406,70,85.006927
-43.064384,48,85.170896
-230.68658,70,86.010843
-94.42247,79,86.693362
-28.248926,90,86.859841
-83.03686,73,87.031542
12.687336,88,87.16334
-38.91826,160,87.321052
-228.77577,78,87.581236
-197.36499,118,87.811703
11.017285,130,88.006606
-99.32633,99,88.243881
-94.87944,49,88.307775
-62.480618,46,89.397386
-12.369525,61,89.672112
-162.64099,85,89.739808
-137.4576,145,90.044785
-50.015984,54,90.109775
-123.81193,74,90.850226
-46.765285,54,91.237129
3.3390298,126,91.458075
27.430012,60,91.738549
-161.5133,108,91.738549
-57.065968,140,91.806635
-91.43127,181,92.157944
-48.323635,76,92.604563
-94.777214,81,92.832895
-87.14293,46,92.962978
-92.753456,30,93.125885
-115.79666,113,93.50848
-288.3237,546,93.974434
24.643263,103,94.265187
-91.47917,93,94.300893
-9.215069,109,95.249796
-67.89236,107,95.249796
-78.21925,110,95.280214
-26.83358,244,95.434211
-43.49673,56,96.061896
-94.416466,109,96.098438
-44.385185,47,96.780926
-276.0859,119,96.780926
-84.024086,93,96.935387
-1.9061245,135,97.453781
-159.5706,74,97.618768
-57.261448,82,98.076452
-25.613861,47,98.30283
-316.85065,152,98.400103
-111.3075,86,98.890722
93.61404,153,99.177556
-130.88553,125,99.280981
-12.412022,203,99.375736
-171.20334,100,100.200038
3.6313314,89,100.370037
-104.5354,54,100.669067
-157.85748,142,100.705877
-55.59025,54,100.972531
-52.8391,50,102.417609
-48.546444,91,102.485366
-159.16296,132,102.520016
-146.23589,63,102.558869
-76.41474,70,102.628604
-6.7622404,178,102.730115
-13.7353735,73,103.514638
26.188227,33,103.550678
3.423956,184,103.830095
-52.61723,45,105.107838
-142.88947,87,105.478629
-399.4254,217,105.788659
-57.012066,93,105.826444
-55.59395,90,105.826444
-458.09872,223,105.89993
-146.11371,76,106.130087
-119.002594,111,106.336041
-91.62696,206,106.336041
-79.772095,136,107.256667
-73.47831,52,108.185415
-75.50898,31,108.359729
-36.64149,76,108.506462
-84.4976,138,108.661769
-48.30859,111,109.421121
-90.11876,94,109.496881
-81.59497,253,109.569984
28.296633,110,109.700005
-29.057692,118,109.99816
-161.03671,146,110.232291
-106.18038,80,111.183964
7.2122912,46,111.285696
-32.956116,160,111.53016
-120.31515,148,111.568132
-58.368595,64,112.455164
-212.12114,89,112.490772
-62.387356,43,112.666503
-51.026653,80,112.768417
-190.383,129,113.01266
-74.897156,119,113.591707
-117.618484,145,113.6963
-161.79344,72,113.763928
-53.238594,66,113.832338
-214.2525,127,113.938495
-93.36519,167,114.002211
6.4870415,68,114.788512
-7.2356753,103,115.035118
-84.27184,70,115.135433
-47.86367,64,115.84541
-67.636215,75,116.112747
-33.32623,121,116.561909
-81.80422,127,116.991802
-34.55193,33,116.991802
-65.07687,99,117.205009
-223.4193,75,117.633859
-188.81624,136,117.670186
-14.136645,59,118.191792
-65.60364,98,118.191792
28.195068,153,119.023997
-71.94569,55,119.138951
-101.21713,116,119.17103
24.539959,153,119.271847
28.073547,93,120.221807
-66.166756,63,120.359895
-138.64706,124,120.879944
-31.5625,107,121.323975
-51.49896,75,121.712028
-41.840107,78,121.853852
-49.605694,54,122.101793
-64.364494,120,122.345657
-245.02199,249,122.522649
-72.14948,118,123.123762
-28.79498,160,123.233565
-131.75488,88,123.447552
-78.939674,70,124.197507
-197.6798,88,124.446651
-31.031822,67,124.894994
-69.54843,96,125.504834
-232.84564,67,125.504834
11.654324,134,125.610171
-117.290955,44,125.747483
-16.121851,76,125.92381
-383.78156,213,126.750773
-131.90022,33,126.785776
-240.88626,287,127.067352
-68.24684,156,127.406271
-123.93935,62,127.733328
-112.16647,132,128.159762
-178.06023,172,128.492399
-109.67943,84,128.53491
-24.660011,101,128.53491
-3.61043,93,129.11123
-321.39185,138,129.395431
-138.4754,75,129.465432
-60.95601,105,129.698373
-43.07303,45,130.10885
9.739724,63,130.386526
-8.901953,64,130.76666
-151.78816,118,131.255393
-140.19302,114,131.428744
3.5993454,86,131.503654
-20.960442,144,131.893383
2.5286064,70,132.138505
-130.42705,80,132.175574
-73.318535,27,132.372638
9.526155,87,132.475475
-107.45825,72,132.898346
-31.026175,173,133.883397
-89.67469,60,134.062668
-104.64591,35,134.202237
-163.34433,103,134.453676
-32.93414,57,134.557724
-0.21802941,72,134.726835
-77.85465,174,135.239041
5.393414,93,135.477632
-103.02136,91,135.613213
-192.08502,120,135.748548
-54.918957,163,135.84543
-140.09006,133,135.948603
-9.649879,66,136.448833
-104.75446,87,136.851799
-25.359447,50,137.63982
-120.157,76,138.067768
-91.92994,74,138.140123
6.7989545,109,138.452798
-113.20571,99,138.623792
-96.297,88,138.876398
-185.30385,71,138.922099
-157.24153,141,139.404974
-128.51794,117,139.786431
-43.088272,60,140.218985
-101.50086,57,140.600213
130.16206,203,141.040131
19.498137,79,141.166175
-57.559544,70,141.290076
-114.605774,105,141.672099
-70.93725,84,141.736452
-158.21677,220,141.959774
-140.2327,70,142.119761
-57.586655,84,142.216403
-41.07519,42,142.653431
-85.5985,55,142.810914
-67.27086,65,143.260073
-52.63729,67,143.881911
11.931874,73,144.016605
-93.83685,67,144.28176
-231.83241,199,144.314517
-112.523445,35,144.412094
-152.6399,87,151.603834
-48.035347,70,151.768435
32.26079,98,152.235194
-2.0300157,32,152.30768
-44.703896,62,152.766632
-89.04146,170,153.001036
-85.20111,77,153.685676
-51.608376,44,153.720649
38.390038,93,153.949095
-51.207993,75,154.136809
-195.18726,339,155.069944
-16.001547,38,155.230747
-49.93456,69,155.331565
22.903837,90,155.331565
-50.72341,126,155.365538
-99.046295,69,156.043584
29.961164,83,156.483381
10.686415,163,157.298533
-63.263184,36,157.298533
-46.54478,59,157.367392
-47.7244,139,157.501749
-64.41054,244,157.831665
-38.85096,77,158.00369
-15.124588,342,158.498998
-91.671265,109,158.810052
54.109062,138,158.847783
-73.75633,106,158.978265
-184.08054,69,159.747765
8.853393,70,160.249847
-38.407337,82,160.315333
-45.76485,118,160.550455
-112.880646,63,160.64969
-115.816666,99,160.688838
-146.2222,103,160.817865
-41.657585,61,160.929909
-83.49129,64,161.166168
-125.683334,69,161.167211
-67.613785,23,161.618699
64.944916,109,161.753727
-61.78129,54,162.150183
-34.8872,52,162.95551
-79.19356,72,163.162067
-30.4807,82,163.770049
-103.21556,93,163.887377
-23.210026,61,163.887377
-53.70343,69,164.024457
-87.065445,262,164.273994
-72.91737,31,164.966606
-122.144264,130,165.075844
-51.58939,53,165.634502
-18.36759,71,165.672692
-101.349236,56,165.848485
-37.06562,165,165.983696
143.8673,193,166.426916
-34.53594,51,166.735415
-238.5992,176,167.270071
84.39416,156,167.55957
-109.85263,85,167.938828
-0.7594496,68,167.938828
-43.989803,137,168.636262
-86.27675,44,168.668309
-58.09171,67,168.891748
17.846968,140,168.955219
3.645362,195,169.518431
-25.539642,117,169.652726
-126.58782,95,170.602546
-90.01342,57,170.797282
-171.23267,61,170.864204
61.688,160,170.864204
26.768826,153,170.959924
-134.172,142,171.020644
11.443004,60,171.472319
-127.43756,97,171.766101
-9.514594,137,172.356506
27.270834,136,173.143882
-32.524555,73,173.311854
-136.8993,83,173.381773
-167.6753,168,173.455908
-42.131023,84,173.785979
58.566578,140,174.347486
-132.38812,43,174.872393
-80.38401,119,175.076439
37.85693,105,175.384834
2.1399608,135,175.384834
-40.904022,75,175.712354
-2.80604,147,175.847805
-103.934654,94,176.53017
-44.090137,69,176.700126
-64.80743,50,176.765236
-1.9837506,103,177.289726
-68.46993,50,177.39745
-80.80814,49,177.500095
-1.4401578,127,177.759915
-69.19649,40,178.096521
108.71905,179,178.469317
80.665764,99,178.699016
142.71336,220,178.935762
-60.385956,48,179.007616
-78.45104,124,179.042695
-29.802378,35,179.278062
-67.738235,84,179.34283
-64.046616,63,179.608354
13.546006,76,179.840242
-71.82379,65,179.943664
-33.383316,44,181.115415
-15.681695,61,181.419699
-52.593662,181,181.48775
-1.0226892,58,181.934417
-69.56068,78,181.934417
-74.942314,117,182.975086
8.910245,125,183.010864
-123.27928,119,183.118779
-69.8554,108,183.596788
-127.08969,154,183.767402
-94.533424,52,183.767402
16.033875,215,184.034473
0.10867196,87,184.423989
-32.344353,75,184.52876
